AsofDate,client,strategy,ticker,descr,symbol,name,valueDate,monthCode,yearCode,bbrgType,tradeType,pstn,pnlDly,pnlMtd,pnlYtd,intraDay,notional,comments,price,updatedBy,lastUpdated,tickerUnderlying,priceUnderlying,ttype,putCall,openClose,optionStrike,optionDelta,canceled,canceled_by,canceled_time,tradeDate,id,EntityID
07/05/2025,JIS_CSAF,JIS_CASH,USD Curncy,(null),USD Curncy,(null),(null),(null),(null),(null),Cash,21045739.78,0,(null),(null),N,21045739.78,(null),1,LoadAlpsCash.pl,07/05/25 10:06,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14879674,(null)
07/05/2025,JIS_CSAF,JIS_CASH_C,USD Curncy,(null),USD Curncy,(null),(null),(null),(null),(null),Cash,20320899.27,0,(null),(null),N,20320899.27,(null),1,LoadAlpsCash.pl,07/05/25 10:06,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14879675,(null)
07/05/2025,CITFUND,FUTURES,BOZ5,(null),BO,(null),(null),Z,2025,(null),Futures,4,-1800,(null),(null),N,114240,(null),47.6,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880805,(null)
07/05/2025,CITFUND,FUTURES,C N5,(null),C,(null),(null),N,2025,(null),Futures,4,-1250,(null),(null),N,89850,(null),449.25,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880806,(null)
07/05/2025,CITFUND,FUTURES,C Z5,(null),C,(null),(null),Z,2025,(null),Futures,7,-175,(null),(null),N,154262.5,(null),440.75,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880807,(null)
07/05/2025,CITFUND,FUTURES,CLN5,(null),CL,(null),(null),N,2025,(null),Futures,9,-8820,(null),(null),N,519300,(null),57.7,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880808,(null)
07/05/2025,CITFUND,FUTURES,CLX5,(null),CL,(null),(null),X,2025,(null),Futures,-3,2970,(null),(null),N,-170640,(null),56.88,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880809,(null)
07/05/2025,CITFUND,FUTURES,COX5,(null),CO,(null),(null),X,2025,(null),Futures,6,-5880,(null),(null),N,362520,(null),60.42,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880810,(null)
07/05/2025,CITFUND,FUTURES,CTZ5,(null),CT,(null),(null),Z,2025,(null),Futures,2,-270,(null),(null),N,69250,(null),69.25,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880811,(null)
07/05/2025,CITFUND,FUTURES,GCZ5,(null),GC,(null),(null),Z,2025,(null),Futures,3,-9180,(null),(null),N,1042950,(null),3476.5,calcPnLPositionFutures.sql,07/05/25 16:48,(null),(null),(null),(null),(null),(null),(null),=FALSE(),(null),(null),(null),14880812,(null)
